symptom_text,ping_gateway,has_ip,ping_ip,ping_domain,ip_conflict,arp_table_ok,subnet_matches_gw,dns_response_time_ms,packet_loss_pct,traceroute_hops,network_type,os_type,diagnosis,severity,solutions,timestamp,dataset_version
all devices lost internet simultaneously,0,1,0,0,0,1,1,2984,65,2,WiFi,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-30 02:00:00,3.0
gateway on different subnet than device,0,1,0,0,0,1,0,1873,100,1,WiFi,Linux,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-30 03:00:00,3.0
duplicate ip address detected on network,0,1,0,0,1,0,1,2028,44,2,Ethernet,Linux,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-30 04:00:00,3.0
routing problem preventing gateway access,0,1,0,0,0,1,1,3163,98,1,Ethernet,Linux,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-30 05:00:00,3.0
network adapter error in device manager,0,0,0,0,0,0,0,92,100,0,Ethernet,macOS,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-30 06:00:00,3.0
network interface offline after restart,0,0,0,0,0,0,0,58,100,0,Ethernet,Windows,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-30 07:00:00,3.0
cannot reach any external server,0,1,0,0,0,1,1,1695,75,1,WiFi,Linux,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-30 08:00:00,3.0
dns server unreachable but gateway is fine,1,1,1,0,0,1,1,21514,4,12,WiFi,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-30 09:00:00,3.0
cannot ping the default gateway address,0,1,0,0,0,1,1,967,96,1,WiFi,Linux,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-30 10:00:00,3.0
network conflict notification from Windows,0,1,0,0,1,0,1,1654,42,1,Ethernet,Windows,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-30 11:00:00,3.0
cannot reach any external server,0,1,0,0,0,1,1,1740,94,1,WiFi,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-30 12:00:00,3.0
changing DNS server fixes the problem,1,1,1,0,0,1,1,141,1,20,WiFi,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-30 13:00:00,3.0
UDP port 53 queries dropping frequently,1,1,1,0,0,1,1,9819,1,16,Ethernet,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-30 14:00:00,3.0
cannot use this ip address it is taken,0,1,0,0,1,0,1,1952,64,3,Ethernet,Windows,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-30 15:00:00,3.0
changing DNS server fixes the problem,1,1,1,0,0,1,1,235,5,17,Ethernet,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-30 16:00:00,3.0
gateway device powered off or faulty,0,1,0,0,0,1,1,3131,94,1,Ethernet,macOS,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-30 17:00:00,3.0
dns resolution succeeds only sometimes,1,1,1,0,0,1,1,26887,5,16,WiFi,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-30 18:00:00,3.0
no ip address assigned by dhcp server,0,0,0,0,0,1,0,1497,88,1,Ethernet,macOS,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-30 19:00:00,3.0
two devices sharing the same ip address,0,1,0,0,1,0,1,1734,66,2,WiFi,Linux,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-30 20:00:00,3.0
cannot reach gateway due to subnet error,0,1,0,0,0,1,0,2395,98,0,Ethernet,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-30 21:00:00,3.0
cannot get valid ip from access point,0,0,0,0,0,1,0,1777,86,0,WiFi,Linux,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-30 22:00:00,3.0
dhcp nak received instead of ack,0,0,0,0,0,1,0,532,85,1,Ethernet,macOS,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-30 23:00:00,3.0
cannot reach gateway due to subnet error,0,1,0,0,0,1,0,2992,100,1,WiFi,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-31 00:00:00,3.0
cannot ARP for gateway across subnet boundary,0,1,0,0,0,1,0,1918,96,1,WiFi,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-31 01:00:00,3.0
network card driver missing or corrupted,0,0,0,0,0,0,0,51,100,0,WiFi,macOS,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-31 02:00:00,3.0
network interface offline after restart,0,0,0,0,0,0,0,91,100,0,WiFi,Linux,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-31 03:00:00,3.0
host command returns NXDOMAIN,1,1,1,0,0,1,1,223,3,18,Ethernet,Linux,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-31 04:00:00,3.0
high latency on all dns queries,1,1,1,0,0,1,1,17018,4,8,WiFi,Linux,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-31 05:00:00,3.0
ISP line seems down or disconnected,0,1,0,0,0,1,1,4545,80,1,WiFi,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-31 06:00:00,3.0
device manager shows network adapter with error,0,0,0,0,0,1,0,39,100,0,Ethernet,macOS,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-31 07:00:00,3.0
dns lookup hangs indefinitely,1,1,1,0,0,1,1,23575,1,13,Ethernet,macOS,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-31 08:00:00,3.0
dhcp server not responding to discovery,0,0,0,0,0,1,0,2500,87,1,WiFi,Windows,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-31 09:00:00,3.0
wrong subnet mask configured on this device,0,1,0,0,0,1,0,1874,99,1,WiFi,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-31 10:00:00,3.0
network unreachable error from ping command,0,1,0,0,0,1,1,2618,96,1,Ethernet,macOS,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-01-31 11:00:00,3.0
nslookup returns no answer,1,1,1,0,0,1,1,308,3,14,WiFi,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-31 12:00:00,3.0
all websites give DNS error,1,1,1,0,0,1,1,338,1,20,Ethernet,Linux,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-01-31 13:00:00,3.0
ISP line seems down or disconnected,0,1,0,0,0,1,1,3414,75,2,WiFi,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-31 14:00:00,3.0
network adapter reporting address conflict,0,1,0,0,1,0,1,1240,58,3,WiFi,Windows,IP Conflict,High,"Identify conflicting device: arp -a | look for duplicate MACs | Release IP: ipconfig /release (Windows) or sudo dhclient -r | Renew IP: ipconfig /renew or sudo dhclient | If using static IP, move it outside DHCP pool range | Set DHCP reservations in router to prevent future conflicts | Check DHCP pool size — expand if needed | Restart router to clear stale DHCP lease table | Reserve MAC-to-IP bindings for all static devices in router",2024-01-31 15:00:00,3.0
internet was working then suddenly dropped,0,1,0,0,0,1,1,4372,60,1,Ethernet,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-01-31 16:00:00,3.0
dns response takes over 10 seconds,1,1,1,0,0,1,1,9051,0,12,WiFi,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-31 17:00:00,3.0
ipconfig shows 169.254 address indicating no dhcp,0,0,0,0,0,1,0,2678,85,0,Ethernet,Linux,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-31 18:00:00,3.0
gateway on different subnet than device,0,1,0,0,0,1,0,2677,96,0,WiFi,macOS,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-31 19:00:00,3.0
incorrect subnet configuration for this network,1,1,0,0,0,1,0,2789,97,0,Ethernet,Windows,Subnet Mismatch,Medium,"Check device IP and mask: ipconfig /all or ip addr | Identify gateway IP and its subnet | Verify device subnet contains the gateway IP (use subnet calculator) | Example correct config: device 192.168.1.50/24, gateway 192.168.1.1 | Set correct subnet mask: 255.255.255.0 for /24 networks | If using static IP, reconfigure with matching subnet | Check DHCP server subnet option — it may be misconfigured | Restart network after fixing subnet to apply changes",2024-01-31 20:00:00,3.0
dhcp server unreachable from this vlan,0,0,0,0,0,1,0,1102,94,0,Ethernet,Linux,DHCP Failure,High,Verify DHCP is enabled in router admin panel | Release and renew: ipconfig /release && ipconfig /renew | Power cycle router — 30s off clears DHCP server state | Check DHCP pool is not exhausted (add more addresses) | Temporarily assign a static IP to confirm it is a DHCP issue | Check if device is in a VLAN that can reach the DHCP server | Increase DHCP lease time in router settings | Reset router DHCP scope to defaults,2024-01-31 21:00:00,3.0
uninstalling driver fixes adapter temporarily,0,0,0,0,0,0,0,40,100,0,Ethernet,Linux,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-01-31 22:00:00,3.0
ping works but browser hangs on dns step,1,1,1,0,0,1,1,10830,2,14,WiFi,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-01-31 23:00:00,3.0
very slow dns resolution taking many seconds,1,1,1,0,0,1,1,28641,1,11,Ethernet,Windows,DNS Timeout,Low,"Test DNS timeout: nslookup -timeout=5 google.com | Switch to a faster DNS server (1.1.1.1 is fastest globally) | Flush DNS cache — Windows: ipconfig /flushdns | Check if UDP port 53 is blocked by local firewall | Ping 1.1.1.1 — if that works but DNS times out, ISP is throttling DNS | Contact ISP — their DNS resolver may be degraded | Enable DNS over HTTPS/TLS to bypass ISP interference | Restart router to reset DNS cache and forwarder state",2024-02-01 00:00:00,3.0
network hardware failure suspected,0,0,0,0,0,0,0,58,100,0,Ethernet,macOS,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-01 01:00:00,3.0
internet connected but no browsing possible,1,1,1,0,0,1,1,173,2,12,WiFi,Linux,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-01 02:00:00,3.0
site not found in all browsers,1,1,1,0,0,1,1,219,2,12,Ethernet,macOS,DNS Issue,Low,"Change DNS to Google (8.8.8.8, 8.8.4.4) or Cloudflare (1.1.1.1) | Flush DNS cache — Windows: ipconfig /flushdns | Flush DNS cache — macOS: sudo dscacheutil -flushcache | Test with nslookup google.com to confirm DNS failure | Restart network adapter to clear DNS state | Check router DNS settings in admin panel | Try alternate DNS: Quad9 (9.9.9.9) or OpenDNS (208.67.222.222) | Disable DNS-over-HTTPS temporarily to test",2024-02-01 03:00:00,3.0
uninstalling driver fixes adapter temporarily,0,0,0,1,0,0,0,31,100,0,Ethernet,Windows,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-01 04:00:00,3.0
wireless adapter completely dead no signal,0,0,0,0,0,0,0,79,100,0,Ethernet,Linux,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-01 05:00:00,3.0
internet was working then suddenly dropped,0,1,0,0,0,1,1,1406,88,1,Ethernet,Windows,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-02-01 06:00:00,3.0
NIC not detected in bios or operating system,0,0,0,0,0,0,0,88,100,0,Ethernet,Linux,Network Adapter Issue,High,Open Device Manager — check for yellow ! on network adapter | Right-click adapter → Enable if disabled | Check physical cable connection — try a different cable | Update driver: Device Manager → Update driver | Uninstall adapter in Device Manager then reboot to reinstall | Try a different USB or PCIe NIC to isolate hardware failure | Run Windows Network Diagnostics or Linux ethtool -t eth0 | Replace NIC if driver reinstall does not resolve it,2024-02-01 07:00:00,3.0
router stuck in boot loop,1,1,0,0,0,1,1,2277,77,2,Ethernet,macOS,Router Issue,Medium,Check if router is powered on — verify all indicator lights | Power cycle: unplug router for 30s then reconnect | Check WAN/Internet cable between router and modem | Verify ISP service is active — call ISP or check status page | Check router WAN IP in admin panel (usually 192.168.1.1) | Update router firmware from manufacturer website | Review router logs for PPPoE or DHCP errors from ISP | Factory reset router if all else fails,2024-02-01 08:00:00,3.0
routing problem preventing gateway access,0,1,0,0,0,1,1,1575,98,1,WiFi,Linux,Gateway Unreachable,Medium,Verify gateway IP: route print (Windows) or ip route show (Linux) | Ping gateway: ping <gateway_ip> — confirm it is unreachable | Re-enter correct default gateway in network settings | Check if gateway device is powered on and its port is active | Restart your network adapter | Check routing table for stale or conflicting routes | Reset TCP/IP stack: netsh int ip reset (Windows) | Verify no firewall rule is blocking ICMP to gateway,2024-02-01 09:00:00,3.0
